bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
Math_4,6,0,2,9,2,1,11,0,1,2,9,0,0,1,0,12
Math_44,3,1,1,17,0,1,11,0,0,3,9,0,0,3,0,15
Math_46,1,0,0,2,0,0,12,0,9,0,6,0,0,0,0,5
Math_47,3,0,0,11,0,0,8,0,7,0,8,0,0,0,0,3
Math_49,3,0,1,0,0,0,5,0,3,0,4,0,0,0,0,2
Math_52,2,0,0,1,0,0,4,0,0,2,5,0,0,0,0,2
Math_54,8,0,0,2,0,0,7,0,0,2,12,0,0,0,0,7
Math_55,3,0,0,18,0,0,8,0,5,2,10,0,0,5,0,6
Math_6,8,0,0,18,0,0,19,0,6,5,9,0,1,0,0,15
Math_61,5,0,0,0,0,0,13,0,6,1,4,0,2,6,0,7
Math_65,1,0,0,0,0,0,6,0,1,0,4,0,0,0,0,1
Math_66,6,0,1,20,0,0,31,0,8,4,16,0,3,12,0,18
Math_68,3,0,0,0,0,0,5,0,2,2,11,0,0,3,0,3
Math_7,3,0,0,0,0,0,10,0,3,1,8,0,0,2,0,3
Math_71,2,0,0,6,0,0,14,0,1,7,4,0,0,0,0,6
Math_72,3,0,0,11,0,0,3,0,4,0,8,0,1,0,0,4
Math_76,5,0,0,0,0,0,9,0,0,4,17,0,0,1,0,4
Math_77,1,0,0,5,0,0,16,0,4,0,5,0,0,0,0,5
Math_78,1,0,0,0,0,0,4,0,1,1,4,0,0,3,0,3
Math_83,7,1,1,23,0,0,13,0,3,0,11,0,0,4,0,12
Math_84,2,0,0,0,0,0,5,0,2,0,5,0,0,0,0,2
Math_86,3,0,0,0,0,0,4,0,1,1,8,0,0,0,0,3
Math_90,1,0,0,7,0,0,5,0,0,2,6,0,1,0,0,8
Math_92,9,0,0,3,0,0,10,0,6,2,11,0,3,0,0,13
Math_93,4,0,1,9,0,0,8,0,0,3,5,0,1,0,0,10
Math_98,8,0,1,33,0,1,10,0,10,3,11,0,2,2,0,14
Math_99,17,0,0,25,0,2,13,0,4,4,11,0,0,0,0,13
Mockito_10,2,0,0,15,0,0,9,0,5,1,14,0,0,1,0,5
Mockito_14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Mockito_15,2,0,0,0,0,0,15,0,3,0,9,0,0,0,0,7
Mockito_16,7,0,0,3,0,0,4,0,1,2,1,0,0,0,0,0
Mockito_17,7,0,0,6,0,0,12,0,2,5,4,0,0,0,0,9
Mockito_19,3,0,0,10,0,0,19,0,4,4,7,0,0,0,0,6
Mockito_2,4,0,0,11,0,0,18,0,9,1,5,0,0,1,0,11
Mockito_20,6,0,0,16,0,0,16,0,7,3,9,0,0,0,0,16
Mockito_21,1,0,0,11,0,0,9,0,3,0,10,0,0,0,0,3
Mockito_23,8,0,2,20,0,0,15,0,9,6,9,0,1,2,0,8
Mockito_25,8,0,0,19,0,0,10,0,1,12,8,0,0,2,0,8
Mockito_3,2,0,0,0,0,0,15,0,2,4,9,0,0,0,0,3
Mockito_30,5,0,0,18,0,0,12,0,2,6,12,0,0,0,0,10
Mockito_31,0,0,0,0,0,0,7,0,3,5,2,0,0,0,0,0
Mockito_32,3,0,0,0,0,0,14,0,2,1,7,0,0,0,0,3
Mockito_35,8,0,0,13,0,0,14,0,0,8,6,0,0,2,0,9
Mockito_4,1,0,0,0,0,0,12,0,4,5,6,0,0,0,0,2
Mockito_6,6,0,2,12,0,0,23,0,7,3,15,0,0,5,0,39
Time_1,7,0,0,8,0,0,11,0,3,10,4,0,0,0,0,4
Time_10,4,0,1,19,0,0,12,0,12,2,8,0,0,0,0,6
Time_12,1,0,1,5,0,0,11,0,5,1,3,0,0,0,0,7
Time_13,8,0,1,11,0,0,16,0,3,2,6,0,0,0,0,7
Time_2,12,1,1,0,0,0,13,0,7,0,11,0,0,6,0,6
Time_23,10,2,2,21,0,0,12,0,6,0,11,0,0,1,0,7
Time_26,2,0,1,11,0,0,12,0,13,1,11,0,0,0,0,11
Time_3,6,0,1,15,0,0,11,0,2,11,7,0,0,2,0,15
Time_6,14,0,1,0,0,0,15,0,5,3,8,0,0,0,0,10
Time_9,2,0,0,7,0,0,10,0,3,0,5,0,0,0,0,2
