bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,OTHER,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WRITE
Math_98,2,0,0,0,0,0,0,1,2,3,0,1,0,9
Math_99,1,0,0,0,0,0,0,6,2,3,0,0,0,12
Mockito_10,3,1,1,0,0,2,0,2,4,1,0,3,0,11
Mockito_14,3,0,0,0,0,1,2,8,3,2,0,2,0,23
Mockito_15,1,0,0,0,0,3,0,3,2,7,0,4,0,9
Mockito_16,0,0,0,0,0,3,0,2,3,6,0,4,0,14
Mockito_17,1,0,0,0,0,4,0,3,3,4,0,4,0,12
Mockito_19,4,2,2,0,0,1,0,1,8,1,0,3,0,10
Mockito_2,2,1,0,0,0,1,0,5,4,1,0,11,0,18
Mockito_20,1,1,0,0,0,2,1,2,9,1,0,8,2,39
Mockito_21,10,2,2,0,0,7,1,1,12,1,2,12,0,15
Mockito_23,2,0,0,0,0,0,0,2,1,3,0,5,0,7
Mockito_25,4,0,0,0,0,5,0,7,7,8,0,6,0,38
Mockito_3,2,1,0,0,2,0,0,5,1,2,0,0,0,17
Mockito_30,2,0,0,0,1,0,0,3,1,4,0,1,0,9
Mockito_31,2,1,0,0,0,0,0,7,3,7,0,7,0,10
Mockito_32,1,1,0,0,0,4,0,5,8,6,1,8,0,18
Mockito_35,1,0,0,0,0,2,0,3,1,5,0,6,0,17
Mockito_36,1,0,0,0,0,0,0,4,1,6,0,0,0,17
Mockito_4,6,2,0,0,0,3,0,11,8,1,0,7,0,28
Mockito_6,1,1,0,0,2,1,0,0,10,2,0,5,0,10
Mockito_9,4,2,1,0,0,1,1,5,5,1,0,8,0,15
Time_1,3,2,0,0,0,5,0,3,1,4,0,4,0,22
Time_10,2,0,0,0,0,1,0,2,3,4,0,1,0,15
Time_12,3,0,0,0,2,7,0,4,4,4,0,3,0,16
Time_13,0,0,0,0,0,1,0,2,3,5,0,7,0,16
Time_2,6,1,0,0,0,1,0,5,3,7,0,3,0,33
Time_23,0,0,0,0,2,1,0,2,3,5,0,2,1,12
Time_26,0,0,0,0,1,0,0,6,1,7,0,3,0,22
Time_3,0,0,0,0,1,0,0,2,2,4,0,0,0,10
Time_6,1,1,0,0,0,4,0,7,3,8,0,2,0,30
Time_9,5,1,0,0,0,1,0,1,1,6,0,1,0,16
