bug,BUILD,DEFECTS4J_OTHER,FILE_OPS,NAVIGATE,PATCH,READ,SCRIPT,SEARCH_CONTENT,SEARCH_FILES,TEST,TRANSFORM,UTIL,VCS,WEB,WRITE
jacksoncore_10,10,1,0,0,0,14,0,4,6,8,0,0,5,0,12
jacksoncore_12,11,0,1,0,0,54,0,43,7,13,0,0,11,0,26
jacksoncore_16,3,0,0,0,0,8,0,0,4,7,0,0,1,0,10
jacksoncore_17,3,0,0,1,0,11,0,4,9,6,0,0,0,0,6
jacksoncore_18,2,0,0,0,0,7,0,2,6,4,0,0,0,0,10
jacksoncore_19,2,0,0,0,0,9,0,7,3,5,0,0,0,0,8
jacksoncore_2,4,0,0,0,0,21,0,11,6,6,0,0,0,0,19
jacksoncore_21,11,0,1,0,0,7,0,5,6,10,0,0,1,0,10
jacksoncore_22,30,4,2,1,1,18,0,10,5,14,0,4,0,0,48
jacksoncore_24,4,0,0,0,0,16,0,11,5,7,0,0,0,0,10
jacksoncore_9,2,0,0,0,0,6,0,6,4,5,0,0,1,0,7
jacksondatabind_10,11,2,0,0,0,6,0,5,2,6,0,1,0,0,12
jacksondatabind_103,22,1,0,0,0,26,0,25,11,9,0,0,10,0,18
jacksondatabind_104,4,5,0,1,0,10,0,5,6,10,0,3,7,0,9
jacksondatabind_105,3,0,0,1,0,20,0,20,5,9,0,2,7,0,8
jacksondatabind_108,2,1,0,0,0,6,0,3,5,9,0,0,1,0,8
jacksondatabind_109,6,1,0,1,0,34,0,16,7,11,0,0,20,0,17
jacksondatabind_110,4,2,0,0,0,9,0,5,2,13,0,0,0,0,10
jacksondatabind_111,4,0,0,0,0,13,0,8,4,7,0,1,0,0,10
jacksondatabind_13,2,0,0,0,0,11,0,3,6,7,0,1,0,0,8
jacksondatabind_14,3,0,1,0,0,12,0,2,8,6,0,0,1,0,8
jacksondatabind_15,6,0,0,0,0,9,0,3,4,5,0,0,1,0,7
jacksondatabind_18,7,0,0,0,0,14,0,2,7,7,0,0,4,0,15
jacksondatabind_20,6,0,0,0,0,13,0,12,6,5,0,0,3,0,9
